#EXPECTED FORMAT: ratingDate;ratingPlace;purchasingDate;purchasingPlace;name;pack;bbe;brewInfo;aroma;appearance;taste;palate;overall;description
#SEPARATOR:;
2010-10-20;Abraxas;2010-10-20;Abraxas;Delirium Nocturnum;Draft;;;7;3;7;3;13;
2010-10-20;Abraxas;2010-10-20;Abraxas;La Caracole Saxo;Draft;;;7;3;8;3;15;
2010-10-20;Abraxas;2010-10-20;Abraxas;Paulaner Octoberfest;Bottle 500ml;;;5;2;5;2;11;Sweet malts, light herbs, grain, mild hops.
2010-10-20;Abraxas, Miami;2010-10-20;Abraxas, Miami;Black Sheep Ale (Bottle);Sample;;;6;3;6;3;12;
2010-10-20;Abraxas, Miami;;;Great Divide Hercules Double IPA;Draft;;;8;4;9;4;16;
2010-10-20;Abraxas, Miami;;;Orange Blossom Pilsner (OBP);Draft;;;6;3;5;3;10;
2010-10-20;Abraxas, Miami;;;Sierra Nevada Estate Homegrown Ale;Draft;;;8;4;8;3;15;
2010-10-20;Abraxas, Miami;;;Spaten Münchner Hell / München / Premium;Sample;;;5;3;4;2;12;
2010-10-20;Abraxas, Miami;;;Cigar City Puppy’s Breath Robust Porter;Draft;;;8;4;8;3;14;
2010-10-20;Abraxas, Miami;;;Flying Dog Dogtoberfest;Draft;;;6;3;6;3;12;
2010-10-20;Abraxas, Miami;;;Rogue Dead Guy Ale;Draft;;;8;3;8;3;15;
2010-10-19;Burger & Beer Joint, Miami Beach;;;Abita Turbodog;Bottle 355ml;;;7;3;6;3;12;
2010-10-29;Pirkkala;2010-10-28;Alko Kaleva;Mallaskosken Kuohu Vahva Amber;Can 330ml;;;5;3;6;3;11;
2010-10-29;Pirkkala;2010-10-25;Alko Pirkkala Partola;Sinebrychoff Panimomestarin Nikolai Vuosiolut 2011 5,0 %;Bottle 330ml;;;5;2;5;2;10;
2010-11-??;Pirkkala;2010-10-19;Total Wine, Fort Lauderdale;Stouds Double IPA;Bottle 355ml;;;9;3;8;3;13;
2010-11-??;Pirkkala;2010-10-14;Stop & Shop Ponce/Food Stores, Coral Gables;Terrapin Side Project Hopzilla Double IPA;Bottle 355ml;;;7;3;8;3;15;ei pääse parhaiden jenkkien tasolle, lievä pettymys
2010-11-03;Pirkkala;2010-11-01;K-citymarket Pirkkala;Laitilan Kievari Tuomas (2010);Bottle 330ml;;;6;3;7;3;12;2010 versio oli positiivinen yllätys. Vois juoda toisenkin.
2010-11-05;Pirkkala;2010-11-01;K-citymarket Pirkkala;Mallaskosken Joulu Kuohu;Can 500;;;5;3;5;2;10;
2010-11-05;Pirkkala;2010-11-05;Alko Kaleva;Nokian Keisari Talvi IV;Bottle 330ml;;;2;3;5;2;10;
2010-11-12;Pirkkala;2010-11-05;Alko Kaleva;Ayinger Winter-Bock;Bottle 500ml;2011-06-30;;6;3;7;3;11;Tunkkainen, huono
2010-11-12;Pirkkala;2010-11-05;Alko Kaleva;Huvila Arctic Circle Ale;Bottle 500ml;;;7;3;7;3;13;todellinen pettymys erinomaisen hana version jälkeen
2010-11-12;Ruovesi;2010-07-18;Vinmonopolet (order);Haandbryggeriet Nissefar 2010;Bottle 500ml;;;7;4;7;4;15;
2010-11-13;Gastropub Nordic;;;Hornbeer IPA;Draft;;;7;3;7;3;15;perus pohjoismaalainen juures ipa
2010-11-13;Gastropub Nordic;;;Xbeeriment Black Force One;Bottle 500ml;;;8;4;8;3;15;
2010-11-13;Gastropub Tuulensuu;;;EleganT Winterprinses;Bottle 330ml;;;7;3;6;3;13;
2010-11-13;Gastropub Tuulensuu;;;Malheur 12;Bottle 330ml;;;7;3;8;3;15;
2010-11-13;Gastropub Tuulensuu;;;Volendam Zeebonck;Bottle 330ml;;;7;3;7;3;14;
2010-11-13;Niko;;;Det Lille Bryggeri Nelson Sauvin Pale Ale;Bottle 500ml;;;7;3;7;3;14;
2010-11-13;Ruovesi;2010-05-10;Alko Arkadia;Innis & Gunn Triple Matured Oak Aged Beer;Bottle 330ml;;;7;3;7;2;13;aikalailla saman makuinen kuin run cask
2010-11-13;Ruovesi;2010-07-18;Vinmonopolet (order);Nøgne Ø Pale Ale;Bottle 500ml;;;8;3;8;3;14;
2010-11-16;Pirkkala;2010-11-15;S-market Pirkkala;Sinebrychoff Suklainen Tumma Lager;Bottle 330ml;;;4;3;4;2;10;
2010-11-18;Pirkkala;2010-11-17;Alko Kaleva;Zhujiang Beer (12°);Bottle 330ml;;;2;1;2;1;4;
2010-11-21;Pirkkala;2010-11-21;K-citymarket Pirkkala;Huvila Hyvä Tuomas Jouluolut;Bottle 500ml;;;5;3;5;2;8;
2010-11-23;Pirkkala;2009-11-21;K-citymarket Pirkkala;Weltenburger Kloster Barock Dunkel;Bottle 500ml;;;6;3;6;3;12;
2010-11-24;Pirkkala;2010-11-21;K-citymarket Pirkkala;Ægir Rallar Amber Ale;Bottle 500ml;;;7;3;5;3;12;
2010-11-25;Pirkkala;2010-11-21;K-citymarket Pirkkala;Nils Oscar God Ale;Bottle 330ml;;;7;3;6;2;10;
2010-12-01;Pirkkala;2010-11-21;K-citymarket Pirkkala;Vakka-Suomen Jouluolut 2010;Bottle 500ml;2011-05-16;;2;3;3;2;6;
2010-12-02;Gastropub Tuulensuu;;;Abbaye des Rocs La Montagnarde (Ambree);Bottle 330ml;;;8;4;7;3;15;
2010-12-02;Gastropub Tuulensuu;;;Abbaye des Rocs Speciale Noel;Bottle 330ml;;;7;4;8;4;15;
2010-12-02;Gastropub Tuulensuu;;;Bush de Noël;Draft;;;7;3;7;3;14;
2010-12-02;Gastropub Tuulensuu;;;Corsendonk Christmas Ale;Bottle 330ml;;;7;3;7;3;13;
2010-12-02;Olutravintola Konttori;;;Founders Reds Rye P.A.;Bottle 355ml;;;7;3;7;3;13;
2010-12-02;Olutravintola Konttori;;;Shorts Huma-Lupa-Licious;Bottle 355ml;;;8;3;7;3;14;
2010-12-04;Ruovesi;2009-09-08;Alko Arkadia;Flying Dog Horn Dog Barley Wine;Bottle 355ml;2012-04-29;;9;3;8;3;14;
2010-12-04;Ruovesi;2010-11-25;Alko Koivistonkylä;Ridgeway Insanely Bad Elf;Bottle 330ml;2020-11-04;;7;3;8;3;13;
2010-12-06;Pirkkala;2010-11-05;Alko Kaleva;Samuel Smiths Winter Welcome Ale;Bottle 500ml;;;6;3;6;3;12;
2010-12-06;Pirkkala;2010-11-21;K-citymarket Pirkkala;Ægir Julebrygg;Bottle 500ml;;;5;3;6;2;11;
2010-12-10;Ruovesi;2010-11-03;Alko Hervanta;Kapuziner Winter Weissbier;Bottle 500ml;;;7;4;6;2;10;
2010-12-10;Ruovesi;2010-12-10;Alko Ylöjärvi;Meantime Winter Time;Bottle 330ml;;;6;3;6;3;10;
2010-12-11;Ruovesi;2010-04-17;System Bolaget Haparanda;Anderson Valley Hop Ottin IPA;Bottle 355ml;2011-01-31;;8;4;8;3;16;ok+, katkera mutta vetinen ja mauton, petti odotukset
2010-12-11;Ruovesi;2010-12-10;Alko Kaleva;Brooklyn Lager;Bottle 355ml;;;7;3;7;3;13;Clear Golden color, white head. Aroma is fruits, hops, Sweet Notes. Taste is Sweet malt, fruits, mild bitterness.
2010-12-11;Ruovesi;2010-04-17;System Bolaget Haparanda;Carnegie Stark Porter;Bottle 330ml;2011-09-03;;7;3;7;3;13;, hyvä hillitty porter
2010-12-12;Pirkkala;2010-11-03;Alko Hervanta;Fuller's Old Winter Ale;Bottle 500ml;;;7;3;6;3;12;
2010-12-13;Ruovesi;2010-11-21;K-citymarket Pirkkala;Beer Hunters Mufloni Ruska Syys-Ale;Bottle 330ml;;;6;3;6;3;12;
2010-12-13;Ruovesi;2010-11-26;Alko Kaleva;Fuller's Vintage Ale 2010;Bottle 500ml;2013-12-31;;6;3;6;3;13;
2010-12-14;Pirkkala;2010-11-05;Alko Kaleva;Anchor Our Special Ale (2010);Bottle 355ml;2012-09-30;;8;3;7;3;12;
2010-12-15;Pirkkala;2010-11-21;K-citymarket Pirkkala;Nils Oscar Brown Ale;Bottle 330ml;;;8;3;8;3;12;
2010-12-16;Pirkkala;2010-12-03;Alko Kaleva;Weihenstephaner Pilsner;Bottle 500ml;;;5;2;6;2;12;Clear yellow, thick white head, aroma is light, malts. flavor is frasm, malt, mild hoppiness. refreshing.
2010-12-17;Pirkkala;2010-12-16;Stockmann Tampere;Lapin Kulta Tuisku;Bottle 500ml;;;5;3;6;2;9;
2010-12-21;Pirkkala;2008-12-19;Alko Kaleva;Schneider Aventinus;Bottle 500ml;;;8;2;8;3;15;omintakeine, tumma ruskea harmaa, vehnäinen
2010-12-21;Pirkkala;2010-11-21;K-citymarket Pirkkala;Ægir Sumbel Porter;Bottle 500ml;;;8;4;6;2;11;
2010-12-23;Ruovesi;2012-12-20;Alko Kaleva;Chouffe Houblon Dobbelen IPA Tripel;Bottle 750ml;;;8;3;8;3;14;Hazy yellow, white head. Citrus, yeast, sweetness, mild bitterness.
2010-12-24;Ruovesi;2010-04-29;Alko Kaleva;Djævlebryg OriginAle;Bottle 500ml;;;9;4;8;3;14;ei koven ipamainen, katkera ja kuiva
2010-12-25;Ruovesi;2009-10-15;Alko Anttila;Nøgne Ø #100 (Batch 100);Bottle 500ml;2014-08-09;;9;4;8;3;15;Dark brown, tan head. Aroma is malt, dark chocolate hops. Flavor is sweet, chocolate, hops, some coffee, alcohol. Like no nother beer, in agood way.
2010-12-25;Ruovesi;2010-11-03;Alko Hervanta;Nøgne Ø/Jolly Pumpkin/Stone Special Holiday Ale;Bottle 500ml;2015-08-03;#526;8;3;7;3;14;
2010-12-25;Ruovesi;2010-12-03;Alko Kaleva;St Feuillien Cuvée de Noël;Bottle 330ml;;;8;3;8;3;14;2010 ja 2009 vertailu: 2010: 7-3-8-3-13, 2009: 9-2-8-3-15
2010-12-26;Pirkkala;2010-12-26;Alko Kaleva;Liefmans Cuvée Brut;Bottle 330ml;;;7;3;6;3;11;
2010-12-27;Pirkkala;2009-09-26;System Bolaget Regeringsgatan;Hoppin Frog Mean Manalishi;Bottle 650ml;;;9;3;9;3;17;
2010-12-27;Pirkkala;2010-07-18;Vinmonopolet (order);Nøgne Ø Porter;Bottle 500ml;;;6;3;6;3;11;
2010-12-28;Konttori;2010-12-28;Konttori;Huvila X-Porter;Bottle 500ml;;;7;4;8;3;14;Dark Brown With khaki head. Aroma is roasted malt, Sweet chocolate . Flavor is roasted malt, smoky Notes, Sweet Chocolate, Bitter finnish. Medium to Full Body, Soft carbonation.
2010-12-28;Konttori;2010-12-28;Konttori;Midtfyns Imperial Stout;Bottle 500ml;;;7;3;8;3;15;
2010-12-28;Konttori;2010-12-28;Konttori;Midtfyns India Pale Ale;Bottle 500ml;;;8;4;8;3;12;
2010-12-28;Pirkkala;2013-11-07;Alko Koivistonkylä;Beer Hunters Mufloni Huurupukki;Bottle 330ml;2014-04-30;;8;3;7;3;10;
2010-12-31;Esplanadi;;;Mikkeller Single Hop Amarillo IPA;Bottle 330ml;;;9;3;8;3;17;
2010-12-31;Gastropub Tuulensuu;;;Caulier Bon Secours Blonde de Noël;Bottle 330ml;;;8;3;7;3;13;
2010-12-31;Gastropub Tuulensuu;;;St. Bernardus Pater 6;Bottle 330ml;;;7;3;7;3;14;
2010-12-31;O'Hara's Freehouse;;;Southern Tier Iniquity;Bottle 650ml;;;8;3;7;3;14;
2010-12-31;O'Hara's Freehouse;;;Hair of the Dog Fred from the Wood;Bottle 355ml;;2008 version;9;3;8;3;16;
2010-12-31;Ohranjyvä;;;Malmgård Belge;Bottle 500ml;;;7;3;7;3;13;
2010-12-31;Oluthuone Esplanadi;;;Dieu du Ciel Rigor Mortis Abt;Bottle 341ml;;;9;3;7;3;14;
2011-01-01;Pirkkala;2010-07-21;System Bolaget Eurostop;Youngs Double Chocolate Stout;Bottle 500ml;;;7;3;7;3;11;
2011-01-06;Pirkkala;2011-01-05;Alko Pirkkala Partola;Hoegaarden;Bottle 330ml;;;8;3;9;3;15;
2011-01-06;Pirkkala;2011-01-05;Alko Pirkkala Partola;Kasteel Bier;Bottle 330ml;;;7;3;7;3;13;Pours dark brown with tan head. Aroma is caramel, yeast, coca cola. Taste is very sweet, raisins, sugar. Nice mouthfeel. Too sweet for me.
2011-01-07;Pirkkala;2009-11-05;Alko Kaleva;Nørrebro Julebryg;600;;Brygg. 2009-10-06;8;3;8;3;13;
2011-01-11;Pirkkala;2010-07-21;System Bolaget Eurostop;Mohawk Summer India Pale Ale;Bottle 500ml;2011-11-20;;9;3;8;3;15;
2011-01-14;Ruovesi;2010-04-17;System Bolaget Haparanda;Mohawk Rye IPA;Bottle 500ml;2011-01-30;;8;3;7;2;12;
2011-01-15;Ruovesi;2011-01-14;K-citymarket Pirkkala;Pilsner Urquell;Can 500;;;8;3;7;3;11;
2011-01-15;Ruovesi;2010-10-08;Alko Koivistonkylä;Stallhagen Celebration;Bottle 330ml;;;4;3;5;2;8;
2011-01-16;Pirkkala;2009-12-22;Alko Kaleva;Nøgne Ø God Jul;Bottle 500ml;;#309, ollut vuoden jääkaapissa;9;3;8;4;14;
2011-01-21;Ruovesi;2011-01-20;Alko Kaleva;Laitilan Kievari Portteri;Bottle 330ml;;;6;3;5;2;11;Almost Black, disappearing Tan head. Aroma is roasted malt and Dark Bread, licorice. flavor is the same. Quite Simple. Medium Body and carbonation
2011-01-22;Pirkkala;2010-07-21;System Bolaget Eurostop;Nynäshamns Bedarö Bitter;Bottle 500ml;2011-01-31;;9;4;7;3;12;
2011-01-22;Ruovesi;2011-01-21;Alko Ylöjärvi;La Gauloise Brune;Bottle 750ml;;;8;3;6;3;12;
2011-01-22;Ruovesi;2011-01-24;K-citymarket Pirkkala;Slottskällans Midvinter Mörk;Bottle 500ml;2010-07-11;;5;3;6;3;12;
2011-01-27;Pirkkala;2011-01-20;Alko Kaleva;Ayinger Altbairisch Dunkel;Bottle 500ml;;;5;3;6;2;10;
2011-01-27;Pirkkala;2011-01-24;K-citymarket Pirkkala;La Trappe Puur;Bottle 330ml;;;9;2;8;3;12;
2011-01-27;Pirkkala;2011-01-27;Alko Pirkkala;St Feuillien Triple;Bottle 330ml;;;8;4;7;3;14;
2011-02-05;Pirkkala;2011-02-04;Alko Turtola;Weihenstephaner Vitus;Bottle 500ml;;;7;3;8;3;14;Hazy yellow thick white head, aroma is yeast, Banana, flavor is Banana, citrus, yeast. One of My favorite wheat beers.
2011-02-08;Pirkkala;2011-02-04;K-citymarket Turtola;BrewDog Alpha Dog;Bottle 330ml;;;7;3;6;2;11;
2011-02-08;Pirkkala;2011-02-04;Alko Turtola;Williams Brothers Midnight Sun (Bottle);Bottle 500ml;;;8;4;8;3;13;
2011-02-09;Pirkkala;2011-02-07;K-citymarket Pirkkala;Huvila Pale Ale;Bottle 500ml;;;8;3;7;2;12;
2011-02-11;Ruovesi;2010-04-17;System Bolaget Haparanda;BrewDog Trashy Blonde;Bottle 330ml;2011-02-17;;8;3;7;2;11;
2011-02-12;Ruovesi;2009-02-02;Alko Kaleva;Nils Oscar India Ale;Bottle 330ml;2011-01-31;;8;3;7;3;12;
2011-02-12;Ruovesi;2011-02-12;S-market Ruovesi;Nokian Keisari Luomu;Can 500;;;4;3;3;1;6;
2011-02-12;Ruovesi;2011-02-12;Alko Ruovesi;Samuel Adams Winter Lager;Bottle 355ml;;;7;3;6;3;12;
2011-02-14;Pirkkala;2010-06-24;Aldi Bremen-Mitte;Einbecker Ur-Bock Dunkel;Bottle 330ml;2011-02-07;;6;3;6;2;11;
2011-02-15;Pirkkala;2010-07-21;System Bolaget Nacka;Sierra Nevada Bigfoot;Bottle 355ml;2011-01-11;2010 version;9;3;9;4;17;
2011-02-16;Pirkkala;2011-02-15;K-citymarket Pirkkala;Ægir Bøyla Blonde Ale;Bottle 500ml;;;7;3;7;3;12;
2011-02-17;Pirkkala;2011-02-07;K-citymarket Pirkkala;Meantime London Lager;Bottle 330ml;;;6;2;6;2;9;
2011-02-17;Pirkkala;2011-02-17;Alko Kaleva;North Coast Red Seal Ale;Bottle 355ml;2011-01-31;;9;3;8;3;13;
2011-02-18;Ruovesi;2011-02-18;Alko Kaleva;Aecht Schlenkerla Rauchbier Weizen;Bottle 500ml;;;8;3;7;3;13;
2011-02-19;Ruovesi;2011-02-18;Alko Kaleva;Emelisse Barley Wine;Bottle 330ml;;;8;3;7;3;13;
2011-02-19;Ruovesi;2011-02-18;Alko Kaleva;Haandbryggeriet Norwegian Wood;Bottle 500ml;;;9;3;9;3;15;
2011-02-19;Ruovesi;2011-02-18;Alko Kaleva;Krombacher Pils;Bottle 500ml;;;6;3;5;2;10;
2011-02-19;Ruovesi;2009-11-12;Alko Arkadia;Mikkeller Single Hop Nugget IPA;Bottle 330ml;2011-04-09;;9;3;8;3;14;
2011-02-20;Ruovesi;2010-02-18;Alko Kaleva;Weihenstephaner Korbinian;Bottle 500ml;2011-02-11;;8;3;7;2;13;
2011-02-21;Pirkkala;2010-07-21;System Bolaget Nacka;North Coast Brother Thelonious;Bottle 355ml;2011-02-28;;9;3;8;3;13;
2011-02-21;Pirkkala;2011-07-17;K-citymarket Ylöjärvi;Williams Brothers Red;Bottle 500ml;2012-08-31;;6;3;6;2;12;Clear mahogny, tan head. Aroma is malt and grass. Flavor is the same.
2011-02-26;Pirkkala;2011-02-26;Alko Stockmann;Ayinger Frühlingsbier;Bottle 500ml;;;6;3;6;3;12;
2011-02-26;Pirkkala;2011-02-26;Alko Stockman;Schneider & Brooklyner Hopfen-Weisse;Bottle 500ml;2012-02-07;;9;3;8;3;15;Oluhuone Amsterdam 05/2009, rated bottle purchased from Alko Stockman 2011-02-26, best before 2012-02-07
2011-02-26;Pirkkala;2011-02-26;Alko Stockman;Ørbæk Påskebryg;Bottle 500ml;;;7;3;7;3;13;
2011-02-27;Pirkkala;2009-02-19;K-citymarket Pirkkala;Nøgne Ø Brown Ale;Bottle 500ml;2011-01-08;#404 Pari vuotta hyllyssä;8;3;8;3;12;
2011-02-28;Pirkkala;2009-08-18;Alko Arkadia;Rogue Brutal Bitter;Bottle 355ml;;;9;3;8;4;15;
2011-03-01;Pirkkala;2010-04-17;System Bolaget Haparanda;Fuller's India Pale Ale;Bottle 500ml;;;7;3;6;2;11;
2011-03-02;Gastropub Tuulensuu;;;BrewDog 5a.m Saint;Bottle 330ml;;;8;3;7;3;14;Deep mahogny color with off white head. Aroma is hops , fruits and pine. Flavor is light. Pine, fruits and light hoppiness. Light Carbonation.
2011-03-02;Gastropub Tuulensuu;;;Kasparus Rode Engel;Bottle 330ml;;;8;2;7;3;12;
2011-03-02;O'Hara's Freehouse;;;Oskar Blues Ten FIDY;Can 355ml;;;7;3;8;3;13;
2011-03-02;O'Hara's Freehouse;;;Port Brewing Older Viscosity;Bottle 375ml;;;9;4;8;4;15;
2011-03-02;O´Hara´s Freehouse;;;BrewDog Hardcore IPA (9.2%);Bottle 330ml;;;9;4;9;4;15;
2011-03-02;Olutravintola Konttori;;;Struise Black Damnation II - Mocha Bomb;Bottle 330ml;;;9;3;8;4;15;
2011-03-05;Ruovesi;2011-03-05;Alko Ruovesi;Litovel Premium 12°;Bottle 500ml;;;5;3;5;2;9;
2011-03-05;Ruovesi;2009-08-18;Alko Arkadia;Rogue Dry Hopped St. Rogue Red Ale;Bottle 355ml;;;9;3;8;3;13;
2011-03-09;Pirkkala;2011-02-25;Alko Kaleva;Neuzeller Kirsch-Bier;Bottle 500ml;;;6;3;6;3;11;
2011-03-13;Pirkkala;2011-03-05;Alko Ruovesi;Holba Premium 12°;Bottle 500ml;;;6;3;5;2;8;
2011-03-17;Pirkkala;2011-03-17;Alko Pirkkala Partola;Theresianer Strong Ale;Bottle 330ml;;;7;3;7;2;12;
2011-03-18;Pirkkala;2009-07-01;Alko Arkadia;Mikkeller Beer Geek Breakfast;Bottle 500ml;2011-03-17;rated bbe 2012-05-04 (#471);9;4;9;3;16;
2011-03-18;Pirkkala;2010-04-17;System Bolaget Haparanda;Nynäshamns Bötet Barley Wine;Bottle 250ml;2011-08-31;;9;3;8;3;13;
2011-03-19;Niko;;;Dugges Kals Stout;Bottle 500ml;;;6;3;8;3;14;
2011-03-19;Niko;;;Great Divide Hibernation Ale;Bottle 355ml;;;9;3;8;4;15;
2011-03-19;Niko;;;St. Bernardus Abt 12;Bottle 750ml;;;8;3;8;3;15;
2011-03-19;Olutravintola Konttori;;;Struise Black Albert;Bottle 330ml;;;8;3;8;3;15;
2011-03-19;Pirkkala;2010-06-02;Alko Kaleva;Saison Dupont Biologique;Bottle 250ml;2012-04-30;;8;3;7;3;14;
2011-03-20;Pirkkala;2011-03-20;K-citymarket Pirkkala;Lancaster Black;Bottle 500ml;2012-03-31;;6;3;6;2;13;
2011-03-20;Pirkkala;2011-03-20;K-citymarket Pirkkala;Lefebvre Blanche de Bruxelles;Bottle 330ml;2012-04-28;;6;3;7;3;12;
2011-03-20;Pirkkala;2011-03-20;K-citymarket Pirkkala;Platan Protivínsk_ Granát Polotmav_ Le_ák 11°;Bottle 500ml;2011-03-12;;5;3;5;2;10;
2011-03-21;Pirkkala;2011-03-20;K-citymarket Pirkkala;Dark Star Espresso Stout;Bottle 500ml;2012-12-31;;7;3;6;3;13;
2011-03-21;Pirkkala;2011-03-21;Alko Anttila;Inveralmond Blackfriar Scottish Ale;Bottle 500ml;2013-03-31;;6;3;7;3;13;
2011-03-22;Pirkkala;2011-03-21;Alko Anttila;Marstons Old Empire;Bottle 500ml;2012-03-21;;5;2;5;2;8;
2011-03-22;Pirkkala;2011-03-20;K-citymarket Pirkkala;Ridgeway Querkus (4.5%);Bottle 500ml;2012-05-17;;7;3;7;3;13;
2011-03-23;Pirkkala;2011-03-20;K-citymarket Pirkkala;Timothy Taylor Landlord;Bottle 500ml;2011-06-30;;6;3;7;3;13;
2011-03-24;Pirkkala;2011-03-21;Alko Anttila;Huvila ESB;Bottle 500ml;2011-09-09;;8;3;7;3;13;
2011-03-25;Ruovesi;2011-03-24;K-citymarket Pirkkala;Saimaan Woima;Bottle 330ml;2011-05-31;;5;3;5;2;10;
2011-03-26;Ruovesi;2011-03-25;Alko Lielahti;Franziskaner Hefe-Weissbier;Bottle 500ml;2011-12-31;;6;3;6;3;13;
2011-03-26;Ruovesi;2011-03-26;Alko Ruovesi;Karhu IV A;Bottle 330ml;2011-08-14;;3;2;4;1;8;
2011-03-26;Ruovesi;2011-03-26;Alko Ruovesi;Karjala IV A;Bottle 330ml;2011-09-30;;1;2;3;1;4;
2011-03-26;Ruovesi;2011-03-26;Alko Ruovesi;Lapin Kulta IV A;Bottle 330ml;2011-08-28;;2;2;3;1;4;
2011-03-26;Ruovesi;2011-03-26;Alko Ruovesi;Sinebrychoff Koff Extra Brew IV;Bottle 330ml;2011-06-16;;3;2;3;2;10;
2011-03-26;Ruovesi;2011-03-25;Alko Lielahti;Stallhagen Dunkles IV;Bottle 330ml;2011-08-17;;7;3;5;2;12;
2011-03-27;Pirkkala;2011-03-25;Alko Lielahti;Sinebrychoff Suklainen Tumma Lager 8 %;Bottle 330ml;2011-06-16;;4;3;5;2;12;
2011-03-28;Pirkkala;2011-03-28;K-citymarket Pirkkala;Beer Hunters Mufloni Single Hop Amarillo;Bottle 330ml;2011-08-11;;8;3;7;2;12;
2011-03-28;Pirkkala;2011-03-25;Alko Lielahti;Duvel;Bottle 330ml;;;8;3;8;3;14;
2011-03-29;Pirkkala;2011-03-28;K-citymarket Pirkkala;Oakham Inferno;Bottle 500ml;;;7;3;7;3;13;
2011-03-30;Pirkkala;2011-03-21;Alko Anttila;Greene King Strong Suffolk;Bottle 500ml;2012-04-30;;7;3;8;3;13;
2011-03-30;Pirkkala;2011-03-28;K-citymarket Pirkkala;Nøgne Ø Wit;Bottle 500ml;2012-07-30;;8;3;7;2;14;
2011-03-31;Pirkkala;2011-03-31;Alko Kaleva;New Castle Brown Ale;Bottle 330ml;2012-01-31;;5;3;6;2;12;
2011-04-01;Ruovesi;2010-07-21;System Bolaget Örebro;AleSmith IPA;Bottle 650ml;2011-03-31;;9;3;9;3;14;
2011-04-01;Ruovesi;2010-10-10;Whole Foods Bowery, New York, New York USA;Cigar City Humidor Series Jai Alai India Pale Ale;Bottle 750ml;;;9;3;9;3;16;
2011-04-01;Ruovesi;2009-07-01;Alko Arkadia;Left Hand Imperial Stout;Bottle 355ml;2011-06-15;;8;3;8;3;15;
2011-04-02;Ruovesi;2011-03-28;K-citymarket Pirkkala;Oakham Citra;Bottle 500ml;;;8;2;7;2;12;
2011-04-03;Pirkkala;2011-03-30;Alko Kaleva;Anchor Liberty Ale;Bottle 355ml;2012-12-31;;7;3;7;3;13;
2011-04-03;Pirkkala;2011-03-20;Alko Kaleva;Stella Artois;Bottle 330ml;;;3;2;4;1;8;
2011-04-04;Pirkkala;2010-07-18;Vinmonopolet Rjukan;Aass Bock;Bottle 330ml;2011-04-01;;7;3;6;2;11;
2011-04-05;Pirkkala;2011-03-28;K-citymarket Pirkkala;Beer Hunters Mufloni Single Hop Simcoe;Bottle 330ml;2011-08-16;;8;3;6;2;12;
2011-04-06;Pirkkala;2011-03-31;Alko Kaleva;Nøgne Ø # 500 Imperial India Pale Ale (Batch 500);Bottle 500ml;;#586;9;4;9;4;16;
2011-04-08;Pirkkala;2011-03-20;K-citymarket Pirkkala;Kaltenberg Organic;Bottle 330ml;2011-03-24;;4;2;4;2;8;
2011-04-09;Angleterre;;;Stadin Ruisstoutti;Draft;;;8;3;7;3;11;
2011-04-09;Gastropub Stone's;;;BrewDog IPA Is Dead - Citra;Draft;;;8;3;8;3;14;
2011-04-09;HBF 2011;;;Beer Hunters Mufloni CCCCC;Draft;;;7;3;8;3;13;
2011-04-09;HBF 2011;;;Beer Hunters Mufloni Kuvee de Yyteri;Draft;;;6;3;7;3;11;
2011-04-09;HBF 2011;;;Beer Hunters Mufloni Ruisnalle Barley Wine;Draft;;;8;3;8;3;13;
2011-04-09;HBF 2011;;;Beer Hunters Äkäpukki Imperial Stout;Bottle 330ml;;;8;3;7;3;12;
2011-04-09;HBF 2011;;;BrewDog Mikkeller I Hardcore You;Bottle 330ml;;;9;3;9;3;15;
2011-04-09;HBF 2011;;;BrewDog IPA Is Dead - Nelson Sauvin;Bottle 330ml;;;8;3;8;3;14;
2011-04-09;HBF 2011;;;Keuda Vaalea Sarvi;Draft;;;8;3;7;3;12;
2011-04-09;HBF 2011;;;Malmgård Alpo's IPA;Draft;;;6;3;7;3;11;
2011-04-09;HBF 2011;;;RCH Huish IPA Ale;Cask;;;5;3;5;2;9;
2011-04-09;HBF 2011;;;RCH Old Slug Porter;Cask;;;7;3;7;3;10;
2011-04-09;HBF 2011;;;Van Den Bossche Buffalo Belgian Stout;Bottle 330ml;;;7;3;7;3;10;
2011-04-09;Pirkkala;2011-04-09;Alko Arkadia;Fuller's Past Masters XX;Bottle 500ml;2013-12-31;;6;3;6;3;10;
2011-04-09;Pirkkala;2009-09-26;System Bolaget Passagen;Southern Tier Un*Earthly;Draft;;;9;4;9;4;16;
2011-04-10;Pirkkala;2011-12-06;Bierkompass;Baird Rising Sun Pale Ale;Bottle 330ml;2012-11-30;;8;3;7;3;11;
2011-04-11;Pirkkala;2011-12-06;Bierkompass;Westoek XX (8% ABV);Bottle 330ml;2016-01-31;;8;3;7;3;11;
2011-04-12;Pirkkala;2011-04-12;K-citymarket Pirkkala;Det Lille Bryggeri Humlemord High and Low;Bottle 330ml;2011-10-09;;8;3;7;2;12;
2011-04-13;Pirkkala;2011-04-13;Alko Pirkkala;Svyturys Baltijos;Bottle 500ml;2011-08-13;;6;3;6;2;11;
2011-04-13;Pirkkala;2011-04-12;K-citymarket Pirkkala;Ægir Brime Red Lager;Bottle 500ml;2012-04-26;;7;3;6;3;12;
